Tanggal,Unit Layanan Medis,Diagnosis Primer,Code,Kecamatan,total_pasien,block_code,cluster,jumlah_pasien_wilayah_scaled_scaled,Lat,Long
2024-01,Mata,Senile cataract,H25,Padaherang,578,Disorders of lens,0,-0.379565967,-7.549917432,108.4216188
2024-01,Mata,Colour vision deficiencies,H53.5,Parigi,862,Visual disturbances and blindness,3,0.636650922,-7.641850648,108.5109654
2024-01,Mata,Presence of intraocular lens,Z96.1,Cimerak,544,Presence of other functional implants,0,-0.501225735,-7.75108096,108.4391362
2024-01,Mata,"Disorder of refraction, unspecified",H52.7,Kalipucang,733,"Disorders of ocular muscles, binocular movement, accommodation and refraction",3,0.175059448,-7.646028349,108.6953381
2024-01,Mata,Other visual disturbances,H53.8,Pangandaran,1105,Visual disturbances and blindness,1,1.506160443,-7.683333,108.7526647
2024-01,Mata,Glaucoma,H40,Pangandaran,1105,Glaucoma,1,1.506160443,-7.683333,108.7526647
2024-01,Mata,Pterygium,H11.0,Pangandaran,1105,Disorders of conjunctiva,1,1.506160443,-7.683333,108.7526647
2024-01,Mata,Myopia,H52.1,Sidamulih,556,"Disorders of ocular muscles, binocular movement, accommodation and refraction",0,-0.458286993,-7.642151948,108.6062757
2024-01,Mata,Aphakia,H27.0,Kalipucang,733,Disorders of lens,3,0.175059448,-7.646028349,108.6953381
2024-01,Mata,"Disorder of lacrimal system, unspecified",H04.9,Parigi,862,"Disorders of eyelid, lacrimal system and orbit",3,0.636650922,-7.641850648,108.5109654
2024-01,Mata,Subjective visual disturbances,H53.1,Parigi,862,Visual disturbances and blindness,3,0.636650922,-7.641850648,108.5109654
2024-01,Mata,Presence of intraocular lens,Z96.1,Padaherang,578,Presence of other functional implants,0,-0.379565967,-7.549917432,108.4216188
2024-01,Mata,Senile cataract,H25,Kalipucang,733,Disorders of lens,3,0.175059448,-7.646028349,108.6953381
2024-01,Mata,With ophthalmic complications,E11.3,Cijulang,343,Other,2,-1.22044966,-7.727417462,108.4725217
2024-01,Mata,Other vitreous opacities,H43.3,Sidamulih,556,Disorders of vitreous body and globe,0,-0.458286993,-7.642151948,108.6062757
2024-01,Mata,Other disorders of cornea,H18,Langkaplancar,299,"Disorders of sclera, cornea, iris and ciliary body",2,-1.377891713,-7.486361775,108.694796
2024-01,Mata,"Disorder of eyelid, unspecified",H02.9,Sidamulih,556,"Disorders of eyelid, lacrimal system and orbit",0,-0.458286993,-7.642151948,108.6062757
2024-01,Mata,Presbyopia,H52.4,Parigi,862,"Disorders of ocular muscles, binocular movement, accommodation and refraction",3,0.636650922,-7.641850648,108.5109654
2024-01,Mata,Presbyopia,H52.4,Cigugur,253,"Disorders of ocular muscles, binocular movement, accommodation and refraction",2,-1.542490223,-7.683333,108.65
2024-01,Mata,Iridocyclitis in infectious and parasitic diseases classified elsewhere,H22.0,Kalipucang,733,"Disorders of sclera, cornea, iris and ciliary body",3,0.175059448,-7.646028349,108.6953381
2024-01,Mata,Corneal ulcer,H16.0,Kalipucang,733,"Disorders of sclera, cornea, iris and ciliary body",3,0.175059448,-7.646028349,108.6953381
2024-01,Mata,Conjunctivitis,H10,Sidamulih,556,Disorders of conjunctiva,0,-0.458286993,-7.642151948,108.6062757
2024-01,Mata,Conjunctival haemorrhage,H11.3,Padaherang,578,Disorders of conjunctiva,0,-0.379565967,-7.549917432,108.4216188
2024-01,Mata,Pterygium,H11.0,Parigi,862,Disorders of conjunctiva,3,0.636650922,-7.641850648,108.5109654
2024-01,Mata,Optic neuritis,H46,Parigi,862,Disorders of optic nerve and visual pathways,3,0.636650922,-7.641850648,108.5109654
2024-01,Mata,Blepharitis,H01.0,Cimerak,544,"Disorders of eyelid, lacrimal system and orbit",0,-0.501225735,-7.75108096,108.4391362
2024-01,Mata,Conjunctivitis,H10,Pangandaran,1105,Disorders of conjunctiva,1,1.506160443,-7.683333,108.7526647
2024-01,Mata,Presence of intraocular lens,Z96.1,Cijulang,343,Presence of other functional implants,2,-1.22044966,-7.727417462,108.4725217
2024-01,Mata,Senile cataract,H25,Cijulang,343,Disorders of lens,2,-1.22044966,-7.727417462,108.4725217
2024-01,Mata,Corneal ulcer,H16.0,Langkaplancar,299,"Disorders of sclera, cornea, iris and ciliary body",2,-1.377891713,-7.486361775,108.694796
2024-01,Mata,"Stroke, not specified as haemorrhage or infarction",I64,Langkaplancar,299,Other,2,-1.377891713,-7.486361775,108.694796
2024-01,Mata,Foreign body on external eye,T15,Kalipucang,733,Other,3,0.175059448,-7.646028349,108.6953381
2024-01,Mata,"Disorder of refraction, unspecified",H52.7,Padaherang,578,"Disorders of ocular muscles, binocular movement, accommodation and refraction",0,-0.379565967,-7.549917432,108.4216188
2024-01,Mata,"Disorder of eyelid, unspecified",H02.9,Pangandaran,1105,"Disorders of eyelid, lacrimal system and orbit",1,1.506160443,-7.683333,108.7526647
2024-01,Mata,Retinal detachment with retinal break,H33.0,Pangandaran,1105,Disorders of choroid and retina,1,1.506160443,-7.683333,108.7526647
2024-01,Mata,Amblyopia ex anopsia,H53.0,Sidamulih,556,Visual disturbances and blindness,0,-0.458286993,-7.642151948,108.6062757
2024-01,Mata,Other disorders of cornea,H18,Sidamulih,556,"Disorders of sclera, cornea, iris and ciliary body",0,-0.458286993,-7.642151948,108.6062757
2024-01,Mata,Presence of intraocular lens,Z96.1,Sidamulih,556,Presence of other functional implants,0,-0.458286993,-7.642151948,108.6062757
2024-01,Mata,Optic atrophy,H47.2,Kalipucang,733,Disorders of optic nerve and visual pathways,3,0.175059448,-7.646028349,108.6953381
2024-01,Mata,Retinal detachments and breaks,H33,Parigi,862,Disorders of choroid and retina,3,0.636650922,-7.641850648,108.5109654
2024-01,Mata,Corneal ulcer,H16.0,Pangandaran,1105,"Disorders of sclera, cornea, iris and ciliary body",1,1.506160443,-7.683333,108.7526647
2024-01,Mata,Chalazion,H00.1,Cijulang,343,"Disorders of eyelid, lacrimal system and orbit",2,-1.22044966,-7.727417462,108.4725217
2024-01,Mata,"Disorder of refraction, unspecified",H52.7,Sidamulih,556,"Disorders of ocular muscles, binocular movement, accommodation and refraction",0,-0.458286993,-7.642151948,108.6062757
2024-01,Mata,Keratitis,H16,Parigi,862,"Disorders of sclera, cornea, iris and ciliary body",3,0.636650922,-7.641850648,108.5109654
2024-01,Mata,Other visual disturbances,H53.8,Kalipucang,733,Visual disturbances and blindness,3,0.175059448,-7.646028349,108.6953381
2024-01,Mata,Hordeolum and other deep inflammation of eyelid,H00.0,Pangandaran,1105,"Disorders of eyelid, lacrimal system and orbit",1,1.506160443,-7.683333,108.7526647
2024-01,Mata,"Keratitis, unspecified",H16.9,Mangunjaya,230,"Disorders of sclera, cornea, iris and ciliary body",2,-1.624789478,-7.486361775,108.694796
2024-01,Mata,Other specified disorders of cornea,H18.8,Kalipucang,733,"Disorders of sclera, cornea, iris and ciliary body",3,0.175059448,-7.646028349,108.6953381
2024-01,Mata,Other glaucoma,H40.8,Mangunjaya,230,Glaucoma,2,-1.624789478,-7.486361775,108.694796
2024-01,Mata,Other vitreous opacities,H43.3,Pangandaran,1105,Disorders of vitreous body and globe,1,1.506160443,-7.683333,108.7526647
2024-01,Mata,Presbyopia,H52.4,Kalipucang,733,"Disorders of ocular muscles, binocular movement, accommodation and refraction",3,0.175059448,-7.646028349,108.6953381
2024-01,Mata,Astigmatism,H52.2,Parigi,862,"Disorders of ocular muscles, binocular movement, accommodation and refraction",3,0.636650922,-7.641850648,108.5109654
2024-01,Mata,Myopia,H52.1,Cimerak,544,"Disorders of ocular muscles, binocular movement, accommodation and refraction",0,-0.501225735,-7.75108096,108.4391362
2024-01,Mata,Presence of intraocular lens,Z96.1,Mangunjaya,230,Presence of other functional implants,2,-1.624789478,-7.486361775,108.694796
2024-01,Mata,Type 2 diabetes mellitus,E11,Cigugur,253,Other,2,-1.542490223,-7.683333,108.65
2024-01,Mata,"Disorder of refraction, unspecified",H52.7,Cigugur,253,"Disorders of ocular muscles, binocular movement, accommodation and refraction",2,-1.542490223,-7.683333,108.65
2024-01,Mata,Presbyopia,H52.4,Padaherang,578,"Disorders of ocular muscles, binocular movement, accommodation and refraction",0,-0.379565967,-7.549917432,108.4216188
2024-01,Mata,Retinal detachment with retinal break,H33.0,Kalipucang,733,Disorders of choroid and retina,3,0.175059448,-7.646028349,108.6953381
2024-01,Mata,Keratoconjunctivitis,H16.2,Cigugur,253,"Disorders of sclera, cornea, iris and ciliary body",2,-1.542490223,-7.683333,108.65
2024-01,Mata,Other visual disturbances,H53.8,Mangunjaya,230,Visual disturbances and blindness,2,-1.624789478,-7.486361775,108.694796
2024-01,Mata,Presence of intraocular lens,Z96.1,Langkaplancar,299,Presence of other functional implants,2,-1.377891713,-7.486361775,108.694796
2024-01,Mata,Presbyopia,H52.4,Sidamulih,556,"Disorders of ocular muscles, binocular movement, accommodation and refraction",0,-0.458286993,-7.642151948,108.6062757
2024-01,Mata,Optic atrophy,H47.2,Pangandaran,1105,Disorders of optic nerve and visual pathways,1,1.506160443,-7.683333,108.7526647
2024-01,Mata,Senile cataract,H25,Cigugur,253,Disorders of lens,2,-1.542490223,-7.683333,108.65
2024-01,Mata,Serous retinal detachment,H33.2,Cijulang,343,Disorders of choroid and retina,2,-1.22044966,-7.727417462,108.4725217
2024-01,Mata,"Disorder of refraction, unspecified",H52.7,Parigi,862,"Disorders of ocular muscles, binocular movement, accommodation and refraction",3,0.636650922,-7.641850648,108.5109654
2024-01,Mata,Other specified disorders of iris and ciliary body,H21.8,Parigi,862,"Disorders of sclera, cornea, iris and ciliary body",3,0.636650922,-7.641850648,108.5109654
2024-01,Mata,Other disorders of cornea,H18,Parigi,862,"Disorders of sclera, cornea, iris and ciliary body",3,0.636650922,-7.641850648,108.5109654
2024-01,Mata,Enophthalmos,H05.4,Sidamulih,556,"Disorders of eyelid, lacrimal system and orbit",0,-0.458286993,-7.642151948,108.6062757
2024-01,Mata,Other retinal detachments,H33.5,Cimerak,544,Disorders of choroid and retina,0,-0.501225735,-7.75108096,108.4391362
2024-01,Mata,"Iridocyclitis, unspecified",H20.9,Kalipucang,733,"Disorders of sclera, cornea, iris and ciliary body",3,0.175059448,-7.646028349,108.6953381
2024-01,Mata,Keratitis,H16,Cijulang,343,"Disorders of sclera, cornea, iris and ciliary body",2,-1.22044966,-7.727417462,108.4725217
2024-01,Mata,"Visual disturbance, unspecified",H53.9,Pangandaran,1105,Visual disturbances and blindness,1,1.506160443,-7.683333,108.7526647
2024-01,Mata,Blepharitis,H01.0,Sidamulih,556,"Disorders of eyelid, lacrimal system and orbit",0,-0.458286993,-7.642151948,108.6062757
2024-01,Mata,Keratitis,H16,Cigugur,253,"Disorders of sclera, cornea, iris and ciliary body",2,-1.542490223,-7.683333,108.65
2024-01,Mata,"Conjunctivitis, unspecified",H10.9,Padaherang,578,Disorders of conjunctiva,0,-0.379565967,-7.549917432,108.4216188
2024-01,Mata,"Visual disturbance, unspecified",H53.9,Sidamulih,556,Visual disturbances and blindness,0,-0.458286993,-7.642151948,108.6062757
2024-01,Mata,Primary open-angle glaucoma,H40.1,Cijulang,343,Glaucoma,2,-1.22044966,-7.727417462,108.4725217
2024-01,Mata,Other specified retinal disorders,H35.8,Parigi,862,Disorders of choroid and retina,3,0.636650922,-7.641850648,108.5109654
2024-01,Mata,Astigmatism,H52.2,Pangandaran,1105,"Disorders of ocular muscles, binocular movement, accommodation and refraction",1,1.506160443,-7.683333,108.7526647
2024-01,Mata,Astigmatism,H52.2,Padaherang,578,"Disorders of ocular muscles, binocular movement, accommodation and refraction",0,-0.379565967,-7.549917432,108.4216188
2024-01,Mata,Astigmatism,H52.2,Kalipucang,733,"Disorders of ocular muscles, binocular movement, accommodation and refraction",3,0.175059448,-7.646028349,108.6953381
2024-01,Mata,Amblyopia ex anopsia,H53.0,Kalipucang,733,Visual disturbances and blindness,3,0.175059448,-7.646028349,108.6953381
2024-01,Mata,Myopia,H52.1,Kalipucang,733,"Disorders of ocular muscles, binocular movement, accommodation and refraction",3,0.175059448,-7.646028349,108.6953381
2024-01,Mata,Injury of conjunctiva and corneal abrasion without mention of foreign body,S05.0,Langkaplancar,299,Other,2,-1.377891713,-7.486361775,108.694796
2024-01,Mata,Keratitis,H16,Mangunjaya,230,"Disorders of sclera, cornea, iris and ciliary body",2,-1.624789478,-7.486361775,108.694796
2024-01,Mata,Type 2 diabetes mellitus,E11,Kalipucang,733,Other,3,0.175059448,-7.646028349,108.6953381
2024-01,Mata,Optic atrophy,H47.2,Padaherang,578,Disorders of optic nerve and visual pathways,0,-0.379565967,-7.549917432,108.4216188
2024-01,Mata,Optic neuritis,H46,Pangandaran,1105,Disorders of optic nerve and visual pathways,1,1.506160443,-7.683333,108.7526647
2024-01,Mata,Sixth [abducent] nerve palsy,H49.2,Parigi,862,"Disorders of ocular muscles, binocular movement, accommodation and refraction",3,0.636650922,-7.641850648,108.5109654
2024-01,Mata,Corneal transplant status,Z94.7,Sidamulih,556,Other,0,-0.458286993,-7.642151948,108.6062757
2024-01,Mata,Presbyopia,H52.4,Pangandaran,1105,"Disorders of ocular muscles, binocular movement, accommodation and refraction",1,1.506160443,-7.683333,108.7526647
2024-01,Mata,Examination of eyes and vision,Z01.0,Pangandaran,1105,Other,1,1.506160443,-7.683333,108.7526647
2024-01,Mata,Conjunctival haemorrhage,H11.3,Mangunjaya,230,Disorders of conjunctiva,2,-1.624789478,-7.486361775,108.694796
2024-01,Mata,Subjective visual disturbances,H53.1,Pangandaran,1105,Visual disturbances and blindness,1,1.506160443,-7.683333,108.7526647
2024-01,Mata,Other retinal disorders,H35,Parigi,862,Disorders of choroid and retina,3,0.636650922,-7.641850648,108.5109654
2024-01,Mata,Other vitreous opacities,H43.3,Cigugur,253,Disorders of vitreous body and globe,2,-1.542490223,-7.683333,108.65
2024-01,Mata,"Visual disturbance, unspecified",H53.9,Cimerak,544,Visual disturbances and blindness,0,-0.501225735,-7.75108096,108.4391362
2024-01,Mata,Astigmatism,H52.2,Langkaplancar,299,"Disorders of ocular muscles, binocular movement, accommodation and refraction",2,-1.377891713,-7.486361775,108.694796
2024-01,Mata,Primary open-angle glaucoma,H40.1,Pangandaran,1105,Glaucoma,1,1.506160443,-7.683333,108.7526647
2024-01,Mata,Astigmatism,H52.2,Mangunjaya,230,"Disorders of ocular muscles, binocular movement, accommodation and refraction",2,-1.624789478,-7.486361775,108.694796
2024-01,Mata,"Foreign body on external eye, part unspecified",T15.9,Sidamulih,556,Other,0,-0.458286993,-7.642151948,108.6062757
2024-01,Mata,Observation for other suspected diseases and conditions,Z03.8,Sidamulih,556,Other,0,-0.458286993,-7.642151948,108.6062757
2024-01,Mata,Examination of eyes and vision,Z01.0,Cigugur,253,Other,2,-1.542490223,-7.683333,108.65
2024-01,Mata,Blepharoconjunctivitis,H10.5,Sidamulih,556,Disorders of conjunctiva,0,-0.458286993,-7.642151948,108.6062757
2024-01,Mata,Observation for other suspected diseases and conditions,Z03.8,Kalipucang,733,Other,3,0.175059448,-7.646028349,108.6953381
2024-01,Mata,Other specified disorders of eyelid,H02.8,Sidamulih,556,"Disorders of eyelid, lacrimal system and orbit",0,-0.458286993,-7.642151948,108.6062757
2024-01,Mata,"Keratitis, unspecified",H16.9,Cijulang,343,"Disorders of sclera, cornea, iris and ciliary body",2,-1.22044966,-7.727417462,108.4725217
2024-01,Mata,"Keratitis, unspecified",H16.9,Parigi,862,"Disorders of sclera, cornea, iris and ciliary body",3,0.636650922,-7.641850648,108.5109654
2024-01,Mata,"Foreign body on external eye, part unspecified",T15.9,Cimerak,544,Other,0,-0.501225735,-7.75108096,108.4391362
2024-01,Mata,Type 2 diabetes mellitus,E11,Parigi,862,Other,3,0.636650922,-7.641850648,108.5109654
2024-01,Mata,"Postprocedural disorder of eye and adnexa, unspecified",H59.9,Kalipucang,733,Other disorders of eye and adnexa,3,0.175059448,-7.646028349,108.6953381
2024-01,Mata,Other retinal detachments,H33.5,Padaherang,578,Disorders of choroid and retina,0,-0.379565967,-7.549917432,108.4216188
2024-01,Mata,Sixth [abducent] nerve palsy,H49.2,Padaherang,578,"Disorders of ocular muscles, binocular movement, accommodation and refraction",0,-0.379565967,-7.549917432,108.4216188
2024-01,Mata,Hordeolum and other deep inflammation of eyelid,H00.0,Mangunjaya,230,"Disorders of eyelid, lacrimal system and orbit",2,-1.624789478,-7.486361775,108.694796
2024-01,Mata,Blepharitis,H01.0,Parigi,862,"Disorders of eyelid, lacrimal system and orbit",3,0.636650922,-7.641850648,108.5109654
2024-01,Mata,Unspecified injury of head,S09.9,Pangandaran,1105,Other,1,1.506160443,-7.683333,108.7526647
2024-01,Mata,Observation for other suspected diseases and conditions,Z03.8,Padaherang,578,Other,0,-0.379565967,-7.549917432,108.4216188
2024-01,Mata,Other keratitis,H16.8,Cijulang,343,"Disorders of sclera, cornea, iris and ciliary body",2,-1.22044966,-7.727417462,108.4725217
2024-01,Mata,"Conjunctivitis, unspecified",H10.9,Pangandaran,1105,Disorders of conjunctiva,1,1.506160443,-7.683333,108.7526647
2024-01,Mata,Type 2 diabetes mellitus,E11,Cijulang,343,Other,2,-1.22044966,-7.727417462,108.4725217
2024-01,Mata,"Foreign body on external eye, part unspecified",T15.9,Padaherang,578,Other,0,-0.379565967,-7.549917432,108.4216188
2024-01,Mata,Subjective visual disturbances,H53.1,Kalipucang,733,Visual disturbances and blindness,3,0.175059448,-7.646028349,108.6953381
2024-01,Mata,Vitreous haemorrhage,H43.1,Cigugur,253,Disorders of vitreous body and globe,2,-1.542490223,-7.683333,108.65
2024-01,Mata,"Corneal scar and opacity, unspecified",H17.9,Cimerak,544,"Disorders of sclera, cornea, iris and ciliary body",0,-0.501225735,-7.75108096,108.4391362
2024-01,Mata,"Disorder of refraction, unspecified",H52.7,Cijulang,343,"Disorders of ocular muscles, binocular movement, accommodation and refraction",2,-1.22044966,-7.727417462,108.4725217
2024-01,Mata,Keratitis,H16,Padaherang,578,"Disorders of sclera, cornea, iris and ciliary body",0,-0.379565967,-7.549917432,108.4216188
2024-01,Mata,"Iridocyclitis, unspecified",H20.9,Pangandaran,1105,"Disorders of sclera, cornea, iris and ciliary body",1,1.506160443,-7.683333,108.7526647
2024-01,Mata,Disorders of refraction and accommodation,H52,Pangandaran,1105,"Disorders of ocular muscles, binocular movement, accommodation and refraction",1,1.506160443,-7.683333,108.7526647
2024-01,Mata,Other specified disorders of eyelid,H02.8,Padaherang,578,"Disorders of eyelid, lacrimal system and orbit",0,-0.379565967,-7.549917432,108.4216188
2024-01,Mata,Disorders of orbit,H05,Sidamulih,556,"Disorders of eyelid, lacrimal system and orbit",0,-0.458286993,-7.642151948,108.6062757
2024-01,Mata,Examination of eyes and vision,Z01.0,Padaherang,578,Other,0,-0.379565967,-7.549917432,108.4216188
2024-01,Mata,Other specified disorders of eye and adnexa,H57.8,Padaherang,578,Other disorders of eye and adnexa,0,-0.379565967,-7.549917432,108.4216188
2024-01,Mata,"Keratitis, unspecified",H16.9,Padaherang,578,"Disorders of sclera, cornea, iris and ciliary body",0,-0.379565967,-7.549917432,108.4216188
2024-01,Mata,"Foreign body on external eye, part unspecified",T15.9,Mangunjaya,230,Other,2,-1.624789478,-7.486361775,108.694796
2024-01,Mata,Subjective visual disturbances,H53.1,Sidamulih,556,Visual disturbances and blindness,0,-0.458286993,-7.642151948,108.6062757
2024-01,Mata,"Disorder of refraction, unspecified",H52.7,Cimerak,544,"Disorders of ocular muscles, binocular movement, accommodation and refraction",0,-0.501225735,-7.75108096,108.4391362
2024-01,Mata,Keratoconjunctivitis,H16.2,Sidamulih,556,"Disorders of sclera, cornea, iris and ciliary body",0,-0.458286993,-7.642151948,108.6062757
2024-01,Mata,"Keratitis, unspecified",H16.9,Sidamulih,556,"Disorders of sclera, cornea, iris and ciliary body",0,-0.458286993,-7.642151948,108.6062757
2024-01,Mata,Vitreous haemorrhage,H43.1,Mangunjaya,230,Disorders of vitreous body and globe,2,-1.624789478,-7.486361775,108.694796
2024-01,Mata,Enophthalmos,H05.4,Kalipucang,733,"Disorders of eyelid, lacrimal system and orbit",3,0.175059448,-7.646028349,108.6953381
2024-01,Mata,Astigmatism,H52.2,Sidamulih,556,"Disorders of ocular muscles, binocular movement, accommodation and refraction",0,-0.458286993,-7.642151948,108.6062757
2024-01,Mata,Optic neuritis,H46,Kalipucang,733,Disorders of optic nerve and visual pathways,3,0.175059448,-7.646028349,108.6953381
2024-01,Mata,"Glaucoma, unspecified",H40.9,Parigi,862,Glaucoma,3,0.636650922,-7.641850648,108.5109654
2024-01,Mata,"Disorder of cornea, unspecified",H18.9,Mangunjaya,230,"Disorders of sclera, cornea, iris and ciliary body",2,-1.624789478,-7.486361775,108.694796
2024-01,Mata,"Keratitis, unspecified",H16.9,Cigugur,253,"Disorders of sclera, cornea, iris and ciliary body",2,-1.542490223,-7.683333,108.65
2024-01,Mata,Subjective visual disturbances,H53.1,Cijulang,343,Visual disturbances and blindness,2,-1.22044966,-7.727417462,108.4725217
2023-02,Mata,Pterygium,H11.0,Sidamulih,556,Disorders of conjunctiva,0,-0.458286993,-7.642151948,108.6062757
2023-02,Mata,Chalazion,H00.1,Kalipucang,733,"Disorders of eyelid, lacrimal system and orbit",3,0.175059448,-7.646028349,108.6953381
2023-02,Mata,Presence of intraocular lens,Z96.1,Kalipucang,733,Presence of other functional implants,3,0.175059448,-7.646028349,108.6953381
2023-02,Mata,Pterygium,H11.0,Cijulang,343,Disorders of conjunctiva,2,-1.22044966,-7.727417462,108.4725217
2023-02,Mata,Senile cataract,H25,Parigi,862,Disorders of lens,3,0.636650922,-7.641850648,108.5109654
2023-02,Mata,Presence of intraocular lens,Z96.1,Cimerak,544,Presence of other functional implants,0,-0.501225735,-7.75108096,108.4391362
2023-02,Mata,Astigmatism,H52.2,Kalipucang,733,"Disorders of ocular muscles, binocular movement, accommodation and refraction",3,0.175059448,-7.646028349,108.6953381
2023-02,Mata,Myopia,H52.1,Kalipucang,733,"Disorders of ocular muscles, binocular movement, accommodation and refraction",3,0.175059448,-7.646028349,108.6953381
2023-02,Mata,Iridocyclitis,H20,Sidamulih,556,"Disorders of sclera, cornea, iris and ciliary body",0,-0.458286993,-7.642151948,108.6062757
2023-02,Mata,Presence of intraocular lens,Z96.1,Cijulang,343,Presence of other functional implants,2,-1.22044966,-7.727417462,108.4725217
2023-02,Mata,Senile cataract,H25,Mangunjaya,230,Disorders of lens,2,-1.624789478,-7.486361775,108.694796
2023-02,Mata,Senile cataract,H25,Sidamulih,556,Disorders of lens,0,-0.458286993,-7.642151948,108.6062757
2023-02,Mata,Senile cataract,H25,Cijulang,343,Disorders of lens,2,-1.22044966,-7.727417462,108.4725217
2023-02,Mata,Conjunctivitis,H10,Kalipucang,733,Disorders of conjunctiva,3,0.175059448,-7.646028349,108.6953381
2023-02,Mata,Disorders of refraction and accommodation,H52,Mangunjaya,230,"Disorders of ocular muscles, binocular movement, accommodation and refraction",2,-1.624789478,-7.486361775,108.694796
2023-02,Mata,Primary open-angle glaucoma,H40.1,Mangunjaya,230,Glaucoma,2,-1.624789478,-7.486361775,108.694796
2023-02,Mata,Keratitis,H16,Pangandaran,1105,"Disorders of sclera, cornea, iris and ciliary body",1,1.506160443,-7.683333,108.7526647
2023-02,Mata,Iridocyclitis,H20,Padaherang,578,"Disorders of sclera, cornea, iris and ciliary body",0,-0.379565967,-7.549917432,108.4216188
2023-02,Mata,Disorders of lacrimal system,H04,Parigi,862,"Disorders of eyelid, lacrimal system and orbit",3,0.636650922,-7.641850648,108.5109654
2023-02,Mata,Pterygium,H11.0,Kalipucang,733,Disorders of conjunctiva,3,0.175059448,-7.646028349,108.6953381
2023-02,Mata,Presbyopia,H52.4,Parigi,862,"Disorders of ocular muscles, binocular movement, accommodation and refraction",3,0.636650922,-7.641850648,108.5109654
2023-02,Mata,Disorders of refraction and accommodation,H52,Cimerak,544,"Disorders of ocular muscles, binocular movement, accommodation and refraction",0,-0.501225735,-7.75108096,108.4391362
2023-02,Mata,Disorders of refraction and accommodation,H52,Padaherang,578,"Disorders of ocular muscles, binocular movement, accommodation and refraction",0,-0.379565967,-7.549917432,108.4216188
2023-02,Mata,Pterygium,H11.0,Cigugur,253,Disorders of conjunctiva,2,-1.542490223,-7.683333,108.65
